,ic_mean,icir
open1,0.019365890735130138,0.11106805940996368
open2,0.020450358606246492,0.11459218032643494
open3,0.03198489084452711,0.17556333791372916
open4,0.03340818112684867,0.18079789666910803
open5,0.028551707956469406,0.15414337821966068
open6,0.024987024868729883,0.13416647894981437
open7,0.022104606187681067,0.11747901715323678
open8,0.021113865780664664,0.1115798470110852
open9,0.019082668556622242,0.10012933789822771
open10,0.017659231835734555,0.09260961996489415
open11,0.01687063203931989,0.08846798798555942
open12,0.016051578575273763,0.08401328808191616
open13,0.014490371605161487,0.07581623826425177
open14,0.01370569061595902,0.07155645658757831
open15,0.014181651361837284,0.07418809400217717
open16,0.014118811628324382,0.07383930121949378
open17,0.014186632932499386,0.07442879636024174
open18,0.014425372361954696,0.07572358108938047
open19,0.014780164080677059,0.07767441766874472
open20,0.014213327958965918,0.07503667676106854
open21,0.014009324825547686,0.07430064851467615
open22,0.014059847404280177,0.074835369881659
open23,0.01479534754940698,0.07898869853150649
open24,0.01515799669870276,0.08079277743723877
open25,0.015136712604784771,0.08093370499394471
open26,0.014916013124775819,0.07977309590205589
open27,0.014763198621840511,0.07913358517897259
open28,0.01436462806389795,0.07708798440867674
open29,0.014401242292057031,0.07732072050344248
open30,0.014278915832406067,0.0766906526339727
open31,0.01443453311404947,0.07736680076676417
open32,0.014683100587599692,0.0788815904469954
open33,0.013715883685702042,0.07360702854515344
open34,0.013641922863495751,0.07349158270010955
open35,0.01257898030238656,0.06773910396269303
open36,0.012084651187739014,0.06513037326971208
open37,0.011388492611377051,0.06153247202123204
open38,0.011629324821774999,0.06280453003643136
open39,0.011580536733261306,0.06256432707830305
open40,0.011108122826795597,0.06000024933444452
open41,0.010845827882035263,0.058634592955138634
open42,0.010617609915244054,0.05736268512230443
open43,0.010262427401413789,0.055375451318647746
open44,0.010842009698033263,0.0586305338006036
open45,0.010736498233884692,0.05831852607271203
open46,0.010758869817267445,0.058622665535299795
open47,0.010728456945005628,0.05870803040008864
open48,0.010854325998541445,0.05954467695149029
open49,0.010649326504524406,0.058552965869971586
open50,0.010244309730171978,0.05653663071350052
open51,0.01033074055853022,0.05723372621564434
open52,0.010581930464877756,0.05867470274364428
open53,0.010353084945593423,0.057417121391903345
open54,0.009872739936191975,0.05489741498445671
open55,0.009895839334327642,0.05503774491890026
open56,0.009544519101953773,0.05331754958838325
open57,0.009089799340262075,0.05088131433764905
open58,0.008762038984880276,0.04910353376445411
open59,0.008814243250405893,0.049532908830644796
open60,0.009185980293560162,0.05156873000831951
close1,0.018619327087776943,0.10904683315811504
close2,0.019181578574230525,0.11042842360680835
close3,0.019949350927790408,0.11251819159188155
close4,0.033349434784643285,0.18437662583384795
close5,0.03275245875180913,0.17865126793578323
close6,0.028043037259384205,0.15304227793863923
close7,0.02485886542206412,0.13424849583126255
close8,0.02133889599629444,0.11385836031732376
close9,0.02084565688964688,0.11068309971884595
close10,0.01898207231107136,0.10028407452478316
close11,0.017547499163709582,0.0925012392117055
close12,0.016819997203394037,0.08869347341369525
close13,0.015832987490284712,0.083192358031262
close14,0.013955039619484334,0.07320537368696425
close15,0.014033924146810628,0.07371196069016518
close16,0.01371670781365842,0.07203002803902518
close17,0.01349927925597869,0.0709757984929636
close18,0.014116644329174099,0.0742437527449697
close19,0.014451640104400308,0.07635385745751509
close20,0.014596106202026081,0.07704482308350583
close21,0.014052024904490758,0.07458033579753251
close22,0.014125661511373693,0.075256078260705
close23,0.014123979042092904,0.07542547614198922
close24,0.014540266397572948,0.07781137057245428
close25,0.015036401080978914,0.08034654978040777
close26,0.015110816733775616,0.08105810013463716
close27,0.014913286499866446,0.07995414960640902
close28,0.014601686612606102,0.07855131575171277
close29,0.01426149273863547,0.07676220792636872
close30,0.0144021559434473,0.07751819008619446
close31,0.014321183263810582,0.07700489393823796
close32,0.01442591137560872,0.0775973615140888
close33,0.01435324575469008,0.07723269147863498
close34,0.013779040497719434,0.07420583813311207
close35,0.01349220089447559,0.07287589650916958
close36,0.012602333613690226,0.06801941171386806
close37,0.011680334109280698,0.06307403531391088
close38,0.011423994849783441,0.06183986778109838
close39,0.011771682947885796,0.06368215317865597
close40,0.011669490827991685,0.06310962473258762
close41,0.010976666552559642,0.0594062706603256
close42,0.010405600169123244,0.056331586406809714
close43,0.01062968809595738,0.05747864232666063
close44,0.01032433025007107,0.05583196125115057
close45,0.01081018882818901,0.05861383875661219
close46,0.010641139064817643,0.057903960321144546
close47,0.010622103850089937,0.05802251726434865
close48,0.010883450371773983,0.05969866880722069
close49,0.010629303184000584,0.058428674101400194
close50,0.010639412198089433,0.058729163854486184
close51,0.010201211986409732,0.05648935488731382
close52,0.010395319066451412,0.05766059607692842
close53,0.01071666235545518,0.05951531051144729
close54,0.010008013456647995,0.05563365931456499
close55,0.009798718905528204,0.054571823679584755
close56,0.00979245439403954,0.05468156227497713
close57,0.009175559007541346,0.05136358365460291
close58,0.008822590718099793,0.049511761657734674
close59,0.00855828596619732,0.04811422329771537
close60,0.008624732063371696,0.048560897147059114
high1,0.02205217178506766,0.1277430996291551
high2,0.019266582308170372,0.11046608513678403
high3,0.024415771744615976,0.13653266417920584
high4,0.03458918234244057,0.18961018889798922
high5,0.03194899244701251,0.17379348187744353
high6,0.027535411574890443,0.14979314258794274
high7,0.024181773796426692,0.13005582608247956
high8,0.021088130473946736,0.11223571208817781
high9,0.020027584152779995,0.10621839391037252
high10,0.01850788063455886,0.09776506089076029
high11,0.017309540692318773,0.09111943662282694
high12,0.016542354553702895,0.08725404017787076
high13,0.015178145450730294,0.07992121814495692
high14,0.013467579823547326,0.07073494005388826
high15,0.014154799303593433,0.07440239070709868
high16,0.01327934681269116,0.06983301052989839
high17,0.013859457116542254,0.07301051448934633
high18,0.013795177975932615,0.07258359103370626
high19,0.01467454836903164,0.07748169350782196
high20,0.014368635517332104,0.0758789067988405
high21,0.013824267592286377,0.07337878834275909
high22,0.013869595671800414,0.07377691880340269
high23,0.014023799577727612,0.07492495628972515
high24,0.014860169690443091,0.07939660391896936
high25,0.015238199266793132,0.08145309977698546
high26,0.01478810251578569,0.07917134000808528
high27,0.01463236012308624,0.07839889956703379
high28,0.014555888066304782,0.07823063625566525
high29,0.014150006206928481,0.07613628081430178
high30,0.013995270765256262,0.07536691196256173
high31,0.014043871393741594,0.07542665985151739
high32,0.014115678329185123,0.0759232901899619
high33,0.014149745663516582,0.07601016953794137
high34,0.013695690260517288,0.07387709866348029
high35,0.013204684554377134,0.0712286823772753
high36,0.012177210315621655,0.06568079035002133
high37,0.011664215708419141,0.06297785051547355
high38,0.011400542944052598,0.061615024430558996
high39,0.011572285630141694,0.0625472635692362
high40,0.011360068540211037,0.061352627837715626
high41,0.010911065906567782,0.05900658253908432
high42,0.01057538954994296,0.05716499127660612
high43,0.010328397941237988,0.05574608626984642
high44,0.010442254500662558,0.05640326470893444
high45,0.010747006313093168,0.05815760708368604
high46,0.010563859119422552,0.05744350089896811
high47,0.010546336032233412,0.05760310157786059
high48,0.010819268418441696,0.05925734418240633
high49,0.010630412726695734,0.05845221743998768
high50,0.01044252882038551,0.057610194029793664
high51,0.01028344740847378,0.05694773365436448
high52,0.010523245034698207,0.05831633526855639
high53,0.010610980515807673,0.05885454465593866
high54,0.00986896796101241,0.0548091329214417
